Date,Time,Weekday,CPU_Usage,Disk_Activity_KB,Idle
2025-03-22,13:18:05,Saturday,0.0,60.0,0
2025-03-22,13:18:11,Saturday,0.0,192.0,0
2025-03-22,13:18:18,Saturday,2.7,168.0,0
2025-03-22,13:18:24,Saturday,1.2,28.0,0
2025-03-22,13:18:30,Saturday,2.4,128.0,0
2025-03-22,13:18:36,Saturday,4.2,84.0,0
2025-03-22,13:18:42,Saturday,2.4,28.0,0
2025-03-22,13:18:48,Saturday,3.7,32.0,0
2025-03-22,13:18:54,Saturday,1.3,8.0,0
2025-03-22,13:19:00,Saturday,0.0,40.0,0
2025-03-22,13:19:06,Saturday,0.0,104.0,0
2025-03-22,13:19:13,Saturday,0.0,32.0,0
2025-03-22,13:19:19,Saturday,2.8,4.0,0
2025-03-22,13:19:25,Saturday,1.2,124.0,0
2025-03-22,13:19:31,Saturday,0.0,4.0,0
2025-03-22,13:19:37,Saturday,8.0,52.0,0
2025-03-22,13:19:43,Saturday,1.4,0.0,0
2025-03-22,13:19:49,Saturday,2.7,36.0,0
2025-03-22,13:19:55,Saturday,4.1,12.0,0
2025-03-22,13:20:01,Saturday,0.0,20.0,0
2025-03-22,13:20:07,Saturday,0.0,24.0,0
2025-03-22,13:20:14,Saturday,0.0,8.0,0
2025-03-22,13:20:20,Saturday,3.7,0.0,0
2025-03-22,13:20:26,Saturday,3.5,20.0,0
2025-03-22,13:20:32,Saturday,4.1,4.0,0
2025-03-22,13:20:38,Saturday,2.2,264.0,0
2025-03-22,13:20:44,Saturday,0.0,0.0,0
2025-03-22,13:20:50,Saturday,2.4,0.0,0
2025-03-22,13:20:56,Saturday,0.0,16.0,0
2025-03-22,13:21:02,Saturday,2.4,4.0,0
2025-03-22,13:21:09,Saturday,0.0,12.0,0
2025-03-22,13:21:15,Saturday,4.8,8.0,0
2025-03-22,13:21:21,Saturday,1.4,112.0,0
2025-03-22,13:21:27,Saturday,0.0,8.0,0
2025-03-22,13:21:33,Saturday,0.0,20.0,0
2025-03-22,13:21:39,Saturday,2.6,16.0,0
2025-03-22,13:21:45,Saturday,4.8,40.0,0
2025-03-22,13:21:51,Saturday,12.3,248.0,0
2025-03-22,13:21:57,Saturday,1.3,128.0,0
2025-03-22,13:22:04,Saturday,0.0,8.0,0
2025-03-22,13:22:10,Saturday,0.0,12.0,0
2025-03-22,13:22:16,Saturday,2.4,16.0,0
2025-03-22,13:22:22,Saturday,1.2,24.0,0
2025-03-22,13:22:28,Saturday,0.0,0.0,0
2025-03-22,13:22:34,Saturday,0.0,84.0,0
2025-03-22,13:22:40,Saturday,2.4,0.0,0
2025-03-22,13:22:46,Saturday,1.2,16.0,0
2025-03-22,13:22:52,Saturday,20.3,1060.0,0
2025-03-22,13:22:58,Saturday,0.0,572.5,0
2025-03-22,13:23:05,Saturday,0.0,0.0,0
2025-03-22,13:34:00,Saturday,71.4,3164.0,0
2025-03-22,13:34:06,Saturday,8.9,5270.5,0
2025-03-22,13:34:13,Saturday,3.7,432.0,0
2025-03-22,13:34:19,Saturday,23.3,556.0,0
2025-03-22,13:34:25,Saturday,2.5,660.0,0
2025-03-22,13:34:31,Saturday,0.0,244.0,0
2025-03-22,13:34:37,Saturday,1.2,4.0,0
2025-03-22,13:34:43,Saturday,0.0,0.0,0
2025-03-22,13:34:49,Saturday,0.0,152.0,0
2025-03-22,13:34:55,Saturday,3.2,128.0,0
2025-03-22,13:35:01,Saturday,0.0,224.0,0
2025-03-22,13:35:08,Saturday,2.6,8.0,0
2025-03-22,13:35:14,Saturday,1.4,0.0,0
2025-03-22,13:35:20,Saturday,1.4,0.0,0
2025-03-22,13:35:26,Saturday,0.0,8.0,0
2025-03-22,13:35:32,Saturday,1.1,0.0,0
2025-03-22,13:35:38,Saturday,2.4,80.0,0
2025-03-22,13:35:44,Saturday,0.0,4.0,0
2025-03-22,13:35:50,Saturday,0.0,0.0,0
2025-03-22,13:35:56,Saturday,0.0,124.0,0
2025-03-22,13:36:02,Saturday,2.4,8.0,0
2025-03-22,13:36:09,Saturday,2.7,116.0,0
2025-03-22,13:36:15,Saturday,2.7,40.0,0
2025-03-22,13:36:21,Saturday,0.0,12.0,0
2025-03-22,13:36:27,Saturday,0.0,120.0,0
2025-03-22,13:36:33,Saturday,0.0,208.0,0
2025-03-22,13:36:39,Saturday,2.4,0.0,0
2025-03-22,13:36:45,Saturday,0.0,56.0,0
2025-03-22,13:36:51,Saturday,0.0,0.0,0
2025-03-22,13:36:57,Saturday,2.7,52.0,0
2025-03-22,13:37:04,Saturday,2.4,4.0,0
2025-03-22,13:37:10,Saturday,13.3,12.0,0
2025-03-22,13:37:16,Saturday,14.0,0.0,0
2025-03-22,13:37:22,Saturday,0.0,456.0,0
2025-03-22,13:37:28,Saturday,3.5,28.0,0
2025-03-22,13:37:34,Saturday,1.2,440.0,0
2025-03-22,13:37:40,Saturday,13.3,6161.0,0
2025-03-22,13:37:46,Saturday,0.0,456.0,0
2025-03-22,13:37:52,Saturday,0.0,76.0,0
2025-03-22,13:37:59,Saturday,8.3,2391.0,0
2025-03-22,13:38:05,Saturday,0.0,0.0,0
2025-03-22,13:38:11,Saturday,15.4,68.0,0
2025-03-22,13:38:17,Saturday,2.5,0.0,0
2025-03-22,13:38:23,Saturday,1.4,48.0,0
2025-03-22,13:38:29,Saturday,2.4,104.0,0
2025-03-22,13:38:35,Saturday,1.2,96.0,0
2025-03-22,13:38:41,Saturday,3.1,4.0,0
2025-03-22,13:38:47,Saturday,1.4,112.0,0
2025-03-22,13:38:53,Saturday,1.4,24.0,0
2025-03-22,13:39:00,Saturday,11.0,12.0,0
2025-03-22,13:39:06,Saturday,0.0,1392.0,0
2025-03-22,13:39:12,Saturday,1.6,0.0,0
2025-03-22,13:39:18,Saturday,21.5,564.0,0
2025-03-22,13:39:24,Saturday,0.0,684.0,0
2025-03-22,13:39:30,Saturday,1.4,292.0,0
2025-03-22,13:39:36,Saturday,5.2,96.0,0
2025-03-22,13:39:42,Saturday,4.9,92.0,0
2025-03-22,13:39:48,Saturday,0.0,128.0,0
2025-03-22,13:39:55,Saturday,0.0,0.0,0
2025-03-22,13:40:01,Saturday,1.2,0.0,0
2025-03-22,13:40:07,Saturday,1.2,0.0,0
2025-03-22,13:40:13,Saturday,4.0,8.0,0
2025-03-22,13:40:19,Saturday,6.6,0.0,0
2025-03-22,13:40:25,Saturday,1.2,0.0,0
2025-03-22,13:40:31,Saturday,0.0,140.0,0
2025-03-22,13:40:37,Saturday,1.2,0.0,0
2025-03-22,13:40:43,Saturday,9.6,116.0,0
2025-03-22,13:40:50,Saturday,2.6,0.0,0
2025-03-22,13:40:56,Saturday,0.0,4.0,0
2025-03-22,13:41:02,Saturday,2.5,0.0,0
2025-03-22,13:41:08,Saturday,0.0,68.0,0
2025-03-22,13:41:14,Saturday,2.8,0.0,0
2025-03-22,13:41:20,Saturday,1.4,144.0,0
2025-03-22,13:41:26,Saturday,3.8,36.0,0
2025-03-22,13:41:32,Saturday,2.7,96.0,0
2025-03-22,13:41:38,Saturday,0.0,28.0,0
2025-03-22,13:41:45,Saturday,5.4,0.0,0
2025-03-22,13:41:51,Saturday,0.0,172.0,0
2025-03-22,13:41:57,Saturday,0.0,0.0,0
2025-03-22,13:42:03,Saturday,7.1,32.0,0
2025-03-22,13:42:09,Saturday,2.4,4.0,0
2025-03-22,13:42:15,Saturday,4.1,60.0,0
2025-03-22,13:42:21,Saturday,2.6,8.0,0
2025-03-22,13:42:27,Saturday,2.6,1608.0,0
2025-03-22,13:42:33,Saturday,22.2,628.0,0
2025-03-22,13:42:40,Saturday,9.2,64.0,0
2025-03-22,13:42:46,Saturday,5.3,0.0,0
